"sample_id","site_id","day","month","year","taxon_id","taxon","abundance"
"106000007_1.7.1986","106000007","1","7","1986","19382","Philopotamus montanus ssp.",5
"106000007_1.7.1986","106000007","1","7","1986","6527","Potamophylax sp.",5
"106000007_1.7.1986","106000007","1","7","1986","6912","Stenophylax sp.",10
"106000007_1.7.1986","106000007","1","7","1986","18724","Stenelmis sp.",80
"106000007_1.7.1986","106000007","1","7","1986","7750","Athericidae Gen. sp.",5
"106000007_1.7.1986","106000007","1","7","1986","4660","Chironomus riparius",5
"106000007_1.7.1986","106000007","1","7","1986","4805","Cricotopus sylvestris",15
"106000007_1.7.1986","106000007","1","7","1986","5220","Eukiefferiella gracei",5
"106000007_1.7.1986","106000007","1","7","1986","5934","Macropelopia sp.",80
"106000007_1.7.1986","106000007","1","7","1986","8483","Limoniidae Gen. sp.",15
"106000007_1.7.1986","106000007","1","7","1986","13927","Tonnoiriella sp.",75
"106000007_1.7.1987","106000007","1","7","1987","4771","Crenobia alpina",20
"106000007_1.7.1987","106000007","1","7","1987","5018","Dugesia gonocephala",5
"106000007_1.7.1987","106000007","1","7","1987","5075","Eiseniella tetraedra",5
"106000007_1.7.1987","106000007","1","7","1987","4408","Baetis melanonyx",15
"106000007_1.7.1987","106000007","1","7","1987","4409","Baetis muticus",5
"106000007_1.7.1987","106000007","1","7","1987","5053","Ecdyonurus sp.",5
"106000007_1.7.1987","106000007","1","7","1987","5137","Ephemerella sp.",5
"106000007_1.7.1987","106000007","1","7","1987","6747","Rhithrogena sp.",15
"106000007_1.7.1987","106000007","1","7","1987","5790","Leuctra sp.",1
"106000007_1.7.1987","106000007","1","7","1987","6616","Protonemura sp.",5
"106000007_1.7.1987","106000007","1","7","1987","4584","Ceraclea sp.",10
"106000007_1.7.1987","106000007","1","7","1987","4639","Cheumatopsyche lepida",115
"106000007_1.7.1987","106000007","1","7","1987","20941","Hydropsyche tabacarui",15
"106000007_1.7.1987","106000007","1","7","1987","6176","Oecismus monedula monedula",10
"106000007_1.7.1987","106000007","1","7","1987","19382","Philopotamus montanus ssp.",15
"106000007_1.7.1987","106000007","1","7","1987","6787","Rhyacophila vulgaris-Gr.",5
"106000007_1.7.1987","106000007","1","7","1987","13958","Rhyacophila mocsaryi ssp.",5
"106000007_1.7.1987","106000007","1","7","1987","18724","Stenelmis sp.",15
"106000007_1.7.1987","106000007","1","7","1987","8483","Limoniidae Gen. sp.",10
"106000007_1.7.1987","106000007","1","7","1987","13927","Tonnoiriella sp.",60
"106000007_1.7.1987","106000007","1","7","1987","7839","Simulium cryophilum",35
"106000007_1.8.1997","106000007","1","8","1997","4771","Crenobia alpina",1
"106000007_1.8.1997","106000007","1","8","1997","4911","Dendrocoelum lacteum",1
"106000007_1.8.1997","106000007","1","8","1997","5018","Dugesia gonocephala",12
"106000007_1.8.1997","106000007","1","8","1997","5281","Fridericia sp.",1
"106000007_1.8.1997","106000007","1","8","1997","5401","Haplotaxis gordioides",2
"106000007_1.8.1997","106000007","1","8","1997","5908","Lumbricus rubellus",6
"106000007_1.8.1997","106000007","1","8","1997","5357","Gyraulus laevis",1
"106000007_1.8.1997","106000007","1","8","1997","4381","Baetis alpinus",245
"106000007_1.8.1997","106000007","1","8","1997","4415","Baetis rhodani",29
"106000007_1.8.1997","106000007","1","8","1997","5053","Ecdyonurus sp.",4
"106000007_1.8.1997","106000007","1","8","1997","5135","Ephemerella mucronata",1
"106000007_1.8.1997","106000007","1","8","1997","12551","Epeorus yougoslavicus",3
"106000007_1.8.1997","106000007","1","8","1997","6747","Rhithrogena sp.",1
"106000007_1.8.1997","106000007","1","8","1997","4489","Brachyptera sp.",2
"106000007_1.8.1997","106000007","1","8","1997","6101","Nemoura marginata",1
"106000007_1.8.1997","106000007","1","8","1997","6370","Perla marginata",1
"106000007_1.8.1997","106000007","1","8","1997","6377","Perlodes sp.",2
"106000007_1.8.1997","106000007","1","8","1997","6616","Protonemura sp.",13
"106000007_1.8.1997","106000007","1","8","1997","4639","Cheumatopsyche lepida",1
"106000007_1.8.1997","106000007","1","8","1997","5014","Drusus sp.",9
"106000007_1.8.1997","106000007","1","8","1997","5605","Hydropsyche sp.",2
"106000007_1.8.1997","106000007","1","8","1997","6176","Oecismus monedula monedula",1
"106000007_1.8.1997","106000007","1","8","1997","6472","Polycentropus sp.",5
"106000007_1.8.1997","106000007","1","8","1997","6527","Potamophylax sp.",1
"106000007_1.8.1997","106000007","1","8","1997","6780","Rhyacophila sp.",5
"106000007_1.8.1997","106000007","1","8","1997","7750","Athericidae Gen. sp.",1
"106000007_1.8.1997","106000007","1","8","1997","4777","Cricotopus bicinctus",2
"106000007_1.8.1997","106000007","1","8","1997","8053","Einfeldia longipes",2
"106000007_1.8.1997","106000007","1","8","1997","4958","Dicrotendipes nervosus",1
"106000007_1.7.2005","106000007","1","7","2005","4381","Baetis alpinus",335
"106000007_1.7.2005","106000007","1","7","2005","4388","Baetis buceratus",10
"106000007_1.7.2005","106000007","1","7","2005","4409","Baetis muticus",10
"106000007_1.7.2005","106000007","1","7","2005","7487","Ecdyonurus epeorides",45
"106000007_1.7.2005","106000007","1","7","2005","5045","Ecdyonurus helveticus-Gr.",10
"106000007_1.7.2005","106000007","1","7","2005","5120","Epeorus sylvicola",15
"106000007_1.7.2005","106000007","1","7","2005","5367","Habroleptoides confusa",10
"106000007_1.7.2005","106000007","1","7","2005","6721","Rhithrogena braaschi",160
"106000007_1.7.2005","106000007","1","7","2005","6733","Rhithrogena hybrida-Gr.",65
"106000007_1.7.2005","106000007","1","7","2005","6598","Protonemura brevistyla",5
"106000007_1.7.2005","106000007","1","7","2005","6616","Protonemura sp.",55
"106000007_1.7.2005","106000007","1","7","2005","4479","Brachycentrus montanus",5
"106000007_1.7.2005","106000007","1","7","2005","5014","Drusus sp.",5
"106000007_1.7.2005","106000007","1","7","2005","9060","Leptocerus sp.",5
"106000007_1.7.2005","106000007","1","7","2005","6787","Rhyacophila vulgaris-Gr.",30
"106000007_1.7.2005","106000007","1","7","2005","21096","Rhyacophila loxias",5
"106000007_1.7.2005","106000007","1","7","2005","4364","Ibisia marginata",40
"106000007_1.7.2005","106000007","1","7","2005","4642","Chironomidae Gen. sp.",25
"106000007_1.7.2005","106000007","1","7","2005","8483","Limoniidae Gen. sp.",15
"106000007_1.7.2005","106000007","1","7","2005","6842","Simuliidae Gen. sp.",50
"106000007_1.6.2006","106000007","1","6","2006","4381","Baetis alpinus",170
"106000007_1.6.2006","106000007","1","6","2006","4415","Baetis rhodani",10
"106000007_1.6.2006","106000007","1","6","2006","4574","Procloeon pennulatum",5
"106000007_1.6.2006","106000007","1","6","2006","7487","Ecdyonurus epeorides",5
"106000007_1.6.2006","106000007","1","6","2006","5120","Epeorus sylvicola",15
"106000007_1.6.2006","106000007","1","6","2006","5367","Habroleptoides confusa",10
"106000007_1.6.2006","106000007","1","6","2006","6744","Rhithrogena semicolorata",145
"106000007_1.6.2006","106000007","1","6","2006","6377","Perlodes sp.",20
"106000007_1.6.2006","106000007","1","6","2006","6611","Protonemura montana",105
"106000007_1.6.2006","106000007","1","6","2006","4365","Atherix sp.",75
"106000007_1.6.2006","106000007","1","6","2006","4642","Chironomidae Gen. sp.",10
"106000007_1.6.2006","106000007","1","6","2006","6842","Simuliidae Gen. sp.",25
"106000007_1.8.2009","106000007","1","8","2009","5018","Dugesia gonocephala",4
"106000007_1.8.2009","106000007","1","8","2009","8813","Nematoda Gen. sp.",2
"106000007_1.8.2009","106000007","1","8","2009","5101","Enchytraeidae Gen. sp.",14
"106000007_1.8.2009","106000007","1","8","2009","5401","Haplotaxis gordioides",5
"106000007_1.8.2009","106000007","1","8","2009","6754","Rhyacodrilus coccineus",1
"106000007_1.8.2009","106000007","1","8","2009","4419","Baetis sp.",163
"106000007_1.8.2009","106000007","1","8","2009","5053","Ecdyonurus sp.",294
"106000007_1.8.2009","106000007","1","8","2009","5368","Habroleptoides modesta",27
"106000007_1.8.2009","106000007","1","8","2009","12551","Epeorus yougoslavicus",1
"106000007_1.8.2009","106000007","1","8","2009","6182","Oligoneuriella rhenana",1
"106000007_1.8.2009","106000007","1","8","2009","6747","Rhithrogena sp.",60
"106000007_1.8.2009","106000007","1","8","2009","5790","Leuctra sp.",16
"106000007_1.8.2009","106000007","1","8","2009","6101","Nemoura marginata",8
"106000007_1.8.2009","106000007","1","8","2009","6108","Nemoura sp.",1
"106000007_1.8.2009","106000007","1","8","2009","6377","Perlodes sp.",50
"106000007_1.8.2009","106000007","1","8","2009","6616","Protonemura sp.",57
"106000007_1.8.2009","106000007","1","8","2009","4639","Cheumatopsyche lepida",304
"106000007_1.8.2009","106000007","1","8","2009","5014","Drusus sp.",4
"106000007_1.8.2009","106000007","1","8","2009","5316","Glossosoma sp.",1
"106000007_1.8.2009","106000007","1","8","2009","5844","Limnephilus sp.",8
"106000007_1.8.2009","106000007","1","8","2009","6780","Rhyacophila sp.",10
"106000007_1.8.2009","106000007","1","8","2009","17768","Elmis aenea",1
"106000007_1.8.2009","106000007","1","8","2009","5169","Esolus sp. Lv.",6
"106000007_1.8.2009","106000007","1","8","2009","17874","Gyrinus sp.",34
"106000007_1.8.2009","106000007","1","8","2009","18724","Stenelmis sp.",6
"106000007_1.8.2009","106000007","1","8","2009","4364","Ibisia marginata",14
"106000007_1.8.2009","106000007","1","8","2009","4642","Chironomidae Gen. sp.",279
"106000007_1.8.2009","106000007","1","8","2009","4497","Brillia sp.",1
"106000007_1.8.2009","106000007","1","8","2009","7120","Tvetenia bavarica",3
"106000007_1.8.2009","106000007","1","8","2009","7121","Tvetenia calvescens",12
"106000007_1.8.2009","106000007","1","8","2009","10349","Dixella sp.",147
"106000007_1.8.2009","106000007","1","8","2009","6842","Simuliidae Gen. sp.",270
"106000007_1.8.2009","106000007","1","8","2009","7839","Simulium cryophilum",3
"106000007_1.8.2009","106000007","1","8","2009","8761","Stratiomyiidae Gen. sp.",1
"106000007_1.7.2010","106000007","1","7","2010","4771","Crenobia alpina",90
"106000007_1.7.2010","106000007","1","7","2010","5101","Enchytraeidae Gen. sp.",10
"106000007_1.7.2010","106000007","1","7","2010","6396","Physella acuta",490
"106000007_1.7.2010","106000007","1","7","2010","4419","Baetis sp.",880
"106000007_1.7.2010","106000007","1","7","2010","5058","Ecdyonurus venosus",10
"106000007_1.7.2010","106000007","1","7","2010","5053","Ecdyonurus sp.",30
"106000007_1.7.2010","106000007","1","7","2010","5077","Electrogena affinis",30
"106000007_1.7.2010","106000007","1","7","2010","5120","Epeorus sylvicola",10
"106000007_1.7.2010","106000007","1","7","2010","5135","Ephemerella mucronata",10
"106000007_1.7.2010","106000007","1","7","2010","12551","Epeorus yougoslavicus",10
"106000007_1.7.2010","106000007","1","7","2010","6308","Paraleptophlebia sp.",30
"106000007_1.7.2010","106000007","1","7","2010","6747","Rhithrogena sp.",320
"106000007_1.7.2010","106000007","1","7","2010","6370","Perla marginata",10
"106000007_1.7.2010","106000007","1","7","2010","4639","Cheumatopsyche lepida",20
"106000007_1.7.2010","106000007","1","7","2010","5007","Drusus discolor",5
"106000007_1.7.2010","106000007","1","7","2010","5329","Goera pilosa",5
"106000007_1.7.2010","106000007","1","7","2010","6780","Rhyacophila sp.",10
"106000007_1.7.2010","106000007","1","7","2010","18724","Stenelmis sp.",15
"106000007_1.7.2010","106000007","1","7","2010","4497","Brillia sp.",10
"106000007_1.7.2010","106000007","1","7","2010","4777","Cricotopus bicinctus",90
"106000007_1.7.2010","106000007","1","7","2010","5220","Eukiefferiella gracei",70
"106000007_1.7.2010","106000007","1","7","2010","4958","Dicrotendipes nervosus",30
"106000007_1.7.2010","106000007","1","7","2010","8483","Limoniidae Gen. sp.",30
"106000007_1.7.2010","106000007","1","7","2010","7249","Ormosia sp.",70
"106000007_1.7.2010","106000007","1","7","2010","6842","Simuliidae Gen. sp.",140
"106000007_1.7.2011","106000007","1","7","2011","5401","Haplotaxis gordioides",2
"106000007_1.7.2011","106000007","1","7","2011","6754","Rhyacodrilus coccineus",6
"106000007_1.7.2011","106000007","1","7","2011","4419","Baetis sp.",184
"106000007_1.7.2011","106000007","1","7","2011","6101","Nemoura marginata",12
"106000007_1.7.2011","106000007","1","7","2011","6377","Perlodes sp.",8
"106000007_1.7.2011","106000007","1","7","2011","6616","Protonemura sp.",78
"106000007_1.7.2011","106000007","1","7","2011","6780","Rhyacophila sp.",26
"106000007_1.7.2011","106000007","1","7","2011","5169","Esolus sp. Lv.",14
"106000007_1.7.2011","106000007","1","7","2011","4364","Ibisia marginata",28
"106000007_1.7.2011","106000007","1","7","2011","4642","Chironomidae Gen. sp.",468
"106000007_1.7.2011","106000007","1","7","2011","4497","Brillia sp.",2
"106000007_1.7.2011","106000007","1","7","2011","7120","Tvetenia bavarica",6
"106000007_1.7.2011","106000007","1","7","2011","7121","Tvetenia calvescens",6
"106000007_1.7.2011","106000007","1","7","2011","6842","Simuliidae Gen. sp.",246
"106000007_1.7.2011","106000007","1","7","2011","8761","Stratiomyiidae Gen. sp.",2
"106000008_1.6.1979","106000008","1","6","1979","5075","Eiseniella tetraedra",5
"106000008_1.6.1979","106000008","1","6","1979","6071","Nais bretscheri",55
"106000008_1.6.1979","106000008","1","6","1979","6072","Nais communis",35
"106000008_1.6.1979","106000008","1","6","1979","6073","Nais elinguis",70
"106000008_1.6.1979","106000008","1","6","1979","6075","Nais pseudobtusa",70
"106000008_1.6.1979","106000008","1","6","1979","6754","Rhyacodrilus coccineus",5
"106000008_1.6.1979","106000008","1","6","1979","7976","Aeolosoma hemprichi",15
"106000008_1.6.1979","106000008","1","6","1979","4381","Baetis alpinus",5
"106000008_1.6.1979","106000008","1","6","1979","4409","Baetis muticus",15
"106000008_1.6.1979","106000008","1","6","1979","4415","Baetis rhodani",5
"106000008_1.6.1979","106000008","1","6","1979","8850","Centroptilum luteolum",5
"106000008_1.6.1979","106000008","1","6","1979","5058","Ecdyonurus venosus",15
"106000008_1.6.1979","106000008","1","6","1979","5135","Ephemerella mucronata",140
"106000008_1.6.1979","106000008","1","6","1979","6745","Rhithrogena semicolorata-Gr.",115
"106000008_1.6.1979","106000008","1","6","1979","8750","Plecoptera Gen. sp.",225
"106000008_1.6.1979","106000008","1","6","1979","5605","Hydropsyche sp.",55
"106000008_1.6.1979","106000008","1","6","1979","6176","Oecismus monedula monedula",5
"106000008_1.6.1979","106000008","1","6","1979","17779","Elmis sp.",5
"106000008_1.6.1979","106000008","1","6","1979","5891","Liponeura sp.",10
"106000008_1.6.1979","106000008","1","6","1979","4452","Bezzia sp.",5
"106000008_1.6.1979","106000008","1","6","1979","4642","Chironomidae Gen. sp.",155
"106000008_1.6.1979","106000008","1","6","1979","7853","Simulium pseudequinum",5
"106000008_1.7.1980","106000008","1","7","1980","8736","Oligochaeta Gen. sp.",10
"106000008_1.7.1980","106000008","1","7","1980","6070","Nais barbata",10
"106000008_1.7.1980","106000008","1","7","1980","6071","Nais bretscheri",10
"106000008_1.7.1980","106000008","1","7","1980","6073","Nais elinguis",75
"106000008_1.7.1980","106000008","1","7","1980","6074","Nais pardalis",15
"106000008_1.7.1980","106000008","1","7","1980","6078","Nais variabilis",15
"106000008_1.7.1980","106000008","1","7","1980","4357","Astacus astacus",5
"106000008_1.7.1980","106000008","1","7","1980","4408","Baetis melanonyx",10
"106000008_1.7.1980","106000008","1","7","1980","4415","Baetis rhodani",25
"106000008_1.7.1980","106000008","1","7","1980","4416","Baetis scambus",15
"106000008_1.7.1980","106000008","1","7","1980","4427","Baetis vernus",25
"106000008_1.7.1980","106000008","1","7","1980","5058","Ecdyonurus venosus",20
"106000008_1.7.1980","106000008","1","7","1980","5135","Ephemerella mucronata",5
"106000008_1.7.1980","106000008","1","7","1980","6745","Rhithrogena semicolorata-Gr.",45
"106000008_1.7.1980","106000008","1","7","1980","6370","Perla marginata",5
"106000008_1.7.1980","106000008","1","7","1980","5605","Hydropsyche sp.",175
"106000008_1.7.1980","106000008","1","7","1980","5984","Micrasema minimum",5
"106000008_1.7.1980","106000008","1","7","1980","19382","Philopotamus montanus ssp.",15
"106000008_1.7.1980","106000008","1","7","1980","6912","Stenophylax sp.",5
"106000008_1.7.1980","106000008","1","7","1980","6176","Oecismus monedula monedula",15
"106000008_1.7.1980","106000008","1","7","1980","19309","Blepharicera fasciata ssp.",105
"106000008_1.7.1980","106000008","1","7","1980","4642","Chironomidae Gen. sp.",15
"106000008_1.7.1980","106000008","1","7","1980","6852","Simulium reptans",30
"106000008_1.8.1981","106000008","1","8","1981","5863","Limnodrilus hoffmeisteri",5
"106000008_1.8.1981","106000008","1","8","1981","6072","Nais communis",20
"106000008_1.8.1981","106000008","1","8","1981","6073","Nais elinguis",5
"106000008_1.8.1981","106000008","1","8","1981","6075","Nais pseudobtusa",15
"106000008_1.8.1981","106000008","1","8","1981","6195","Ophidonais serpentina",10
"106000008_1.8.1981","106000008","1","8","1981","7202","Pristina bilobata",5
"106000008_1.8.1981","106000008","1","8","1981","6754","Rhyacodrilus coccineus",30
"106000008_1.8.1981","106000008","1","8","1981","4310","Ancylus fluviatilis",20
"106000008_1.8.1981","106000008","1","8","1981","4397","Baetis fuscatus",215
"106000008_1.8.1981","106000008","1","8","1981","4409","Baetis muticus",5
"106000008_1.8.1981","106000008","1","8","1981","4415","Baetis rhodani",30
"106000008_1.8.1981","106000008","1","8","1981","4416","Baetis scambus",40
"106000008_1.8.1981","106000008","1","8","1981","4427","Baetis vernus",60
"106000008_1.8.1981","106000008","1","8","1981","4521","Caenis luctuosa",5
"106000008_1.8.1981","106000008","1","8","1981","4522","Caenis macrura",15
"106000008_1.8.1981","106000008","1","8","1981","5057","Ecdyonurus torrentis",80
"106000008_1.8.1981","106000008","1","8","1981","5058","Ecdyonurus venosus",165
"106000008_1.8.1981","106000008","1","8","1981","6309","Paraleptophlebia submarginata",10
"106000008_1.8.1981","106000008","1","8","1981","8670","Trichoptera Gen. sp.",5
"106000008_1.8.1981","106000008","1","8","1981","5605","Hydropsyche sp.",165
"106000008_1.8.1981","106000008","1","8","1981","4642","Chironomidae Gen. sp.",465
"106000008_1.8.1981","106000008","1","8","1981","7853","Simulium pseudequinum",25
"106000008_1.7.1986","106000008","1","7","1986","8736","Oligochaeta Gen. sp.",10
"106000008_1.7.1986","106000008","1","7","1986","6070","Nais barbata",35
"106000008_1.7.1986","106000008","1","7","1986","6073","Nais elinguis",10
"106000008_1.7.1986","106000008","1","7","1986","6078","Nais variabilis",45
"106000008_1.7.1986","106000008","1","7","1986","6621","Psammoryctides barbatus",10
"106000008_1.7.1986","106000008","1","7","1986","4973","Dina lineata",35
"106000008_1.7.1986","106000008","1","7","1986","4310","Ancylus fluviatilis",75
"106000008_1.7.1986","106000008","1","7","1986","4397","Baetis fuscatus",165
"106000008_1.7.1986","106000008","1","7","1986","4419","Baetis sp.",115
"106000008_1.7.1986","106000008","1","7","1986","5053","Ecdyonurus sp.",5
"106000008_1.7.1986","106000008","1","7","1986","13024","Hydropsyche incognita/pellucidula",35
"106000008_1.7.1986","106000008","1","7","1986","6912","Stenophylax sp.",5
"106000008_1.7.1986","106000008","1","7","1986","4777","Cricotopus bicinctus",15
"106000008_1.7.1986","106000008","1","7","1986","8180","Cricotopus vierriensis",15
"106000008_1.7.1986","106000008","1","7","1986","5234","Eukiefferiella sp.",5
"106000008_1.7.1986","106000008","1","7","1986","5934","Macropelopia sp.",25
"106000008_1.7.1986","106000008","1","7","1986","6020","Micropsectra sp.",25
"106000008_1.7.1987","106000008","1","7","1987","5159","Erpobdella octoculata",60
"106000008_1.7.1987","106000008","1","7","1987","4310","Ancylus fluviatilis",35
"106000008_1.7.1987","106000008","1","7","1987","4397","Baetis fuscatus",200
"106000008_1.7.1987","106000008","1","7","1987","4409","Baetis muticus",5
"106000008_1.7.1987","106000008","1","7","1987","4427","Baetis vernus",105
"106000008_1.7.1987","106000008","1","7","1987","13024","Hydropsyche incognita/pellucidula",510
"106000008_1.7.1987","106000008","1","7","1987","20941","Hydropsyche tabacarui",220
"106000008_1.7.1987","106000008","1","7","1987","4642","Chironomidae Gen. sp.",10
"106000008_1.7.1987","106000008","1","7","1987","4495","Brillia longifurca",5
"106000008_1.7.1987","106000008","1","7","1987","4777","Cricotopus bicinctus",35
"106000008_1.7.1987","106000008","1","7","1987","5234","Eukiefferiella sp.",15
"106000008_1.7.1987","106000008","1","7","1987","6963","Tabanus sp.",5
"106000008_1.8.1991","106000008","1","8","1991","5075","Eiseniella tetraedra",5
"106000008_1.8.1991","106000008","1","8","1991","5907","Lumbriculus variegatus",5
"106000008_1.8.1991","106000008","1","8","1991","6070","Nais barbata",30
"106000008_1.8.1991","106000008","1","8","1991","6790","Rhynchelmis sp.",5
"106000008_1.8.1991","106000008","1","8","1991","4973","Dina lineata",10
"106000008_1.8.1991","106000008","1","8","1991","4409","Baetis muticus",10
"106000008_1.8.1991","106000008","1","8","1991","4415","Baetis rhodani",90
"106000008_1.8.1991","106000008","1","8","1991","5014","Drusus sp.",5
"106000008_1.8.1991","106000008","1","8","1991","13024","Hydropsyche incognita/pellucidula",25
"106000008_1.8.1991","106000008","1","8","1991","4452","Bezzia sp.",5
"106000008_1.8.1991","106000008","1","8","1991","5234","Eukiefferiella sp.",10
"106000008_1.8.1997","106000008","1","8","1997","5075","Eiseniella tetraedra",4
"106000008_1.8.1997","106000008","1","8","1997","5281","Fridericia sp.",1
"106000008_1.8.1997","106000008","1","8","1997","5863","Limnodrilus hoffmeisteri",26
"106000008_1.8.1997","106000008","1","8","1997","7116","Tubifex tubifex",12
"106000008_1.8.1997","106000008","1","8","1997","5159","Erpobdella octoculata",7
"106000008_1.8.1997","106000008","1","8","1997","5413","Helobdella stagnalis",1
"106000008_1.8.1997","106000008","1","8","1997","4310","Ancylus fluviatilis",15
"106000008_1.8.1997","106000008","1","8","1997","6425","Pisidium sp.",1
"106000008_1.8.1997","106000008","1","8","1997","8691","Asellus aquaticus",101
"106000008_1.8.1997","106000008","1","8","1997","4381","Baetis alpinus",1
"106000008_1.8.1997","106000008","1","8","1997","4415","Baetis rhodani",29
"106000008_1.8.1997","106000008","1","8","1997","4427","Baetis vernus",3
"106000008_1.8.1997","106000008","1","8","1997","5605","Hydropsyche sp.",43
"106000008_1.8.1997","106000008","1","8","1997","6912","Stenophylax sp.",2
"106000008_1.8.1997","106000008","1","8","1997","4642","Chironomidae Gen. sp.",2
"106000008_1.8.1997","106000008","1","8","1997","7476","Cricotopus sp.",26
"106000008_1.8.1997","106000008","1","8","1997","5234","Eukiefferiella sp.",3
"106000008_1.8.1997","106000008","1","8","1997","5934","Macropelopia sp.",1
"106000008_1.8.1997","106000008","1","8","1997","6243","Orthocladius sp.",1
"106000008_1.8.1997","106000008","1","8","1997","6501","Polypedilum sp.",20
"106000008_1.8.1997","106000008","1","8","1997","15793","Simulium (Odagmia) sp.",55
"106000008_1.7.2005","106000008","1","7","2005","6073","Nais elinguis",45
"106000008_1.7.2005","106000008","1","7","2005","6754","Rhyacodrilus coccineus",180
"106000008_1.7.2005","106000008","1","7","2005","6935","Stylodrilus heringianus",115
"106000008_1.7.2005","106000008","1","7","2005","7116","Tubifex tubifex",5
"106000008_1.7.2005","106000008","1","7","2005","4973","Dina lineata",20
"106000008_1.7.2005","106000008","1","7","2005","5159","Erpobdella octoculata",5
"106000008_1.7.2005","106000008","1","7","2005","4381","Baetis alpinus",200
"106000008_1.7.2005","106000008","1","7","2005","4397","Baetis fuscatus",15
"106000008_1.7.2005","106000008","1","7","2005","4406","Baetis lutheri",5
"106000008_1.7.2005","106000008","1","7","2005","4408","Baetis melanonyx",10
"106000008_1.7.2005","106000008","1","7","2005","4415","Baetis rhodani",965
"106000008_1.7.2005","106000008","1","7","2005","4427","Baetis vernus",1465
"106000008_1.7.2005","106000008","1","7","2005","5058","Ecdyonurus venosus",45
"106000008_1.7.2005","106000008","1","7","2005","5120","Epeorus sylvicola",960
"106000008_1.7.2005","106000008","1","7","2005","5135","Ephemerella mucronata",5
"106000008_1.7.2005","106000008","1","7","2005","5790","Leuctra sp.",35
"106000008_1.7.2005","106000008","1","7","2005","5589","Hydropsyche bulbifera",5
"106000008_1.7.2005","106000008","1","7","2005","6527","Potamophylax sp.",5
"106000008_1.7.2005","106000008","1","7","2005","6772","Rhyacophila nubila",60
"106000008_1.7.2005","106000008","1","7","2005","6912","Stenophylax sp.",25
"106000008_1.7.2005","106000008","1","7","2005","4465","Blephariceridae Gen. sp.",15
"106000008_1.7.2005","106000008","1","7","2005","4823","Cryptochironomus defectus",480
"106000008_1.7.2005","106000008","1","7","2005","6842","Simuliidae Gen. sp.",315
"106000008_1.6.2010","106000008","1","6","2010","5863","Limnodrilus hoffmeisteri",10
"106000008_1.6.2010","106000008","1","6","2010","5866","Limnodrilus sp.",5
"106000008_1.6.2010","106000008","1","6","2010","5907","Lumbriculus variegatus",5
"106000008_1.6.2010","106000008","1","6","2010","6074","Nais pardalis",55
"106000008_1.6.2010","106000008","1","6","2010","6075","Nais pseudobtusa",70
"106000008_1.6.2010","106000008","1","6","2010","6551","Pristina aequiseta",25
"106000008_1.6.2010","106000008","1","6","2010","7202","Pristina bilobata",50
"106000008_1.6.2010","106000008","1","6","2010","6754","Rhyacodrilus coccineus",20
"106000008_1.6.2010","106000008","1","6","2010","4973","Dina lineata",40
"106000008_1.6.2010","106000008","1","6","2010","5159","Erpobdella octoculata",5
"106000008_1.6.2010","106000008","1","6","2010","4419","Baetis sp.",490
